Stop Lat,Stop Lon,Category,Day,LRT Direction,Route Proper,Stop Desc,STOP ID,Stop Name Proper,Stop or Station or Rapid,Stop Type,Average Daily Alightings,Average Daily Boardings,Size
37.402558,-122.106785,Local,Saturday, ,21,Southbound,60694,Showers & California,Bus Stop,Bus Stop,17.8,21.6,39.4
37.398622,-122.066093,Local,Saturday, ,21,Eastbound,61279,Middlefield & Easy,Bus Stop,Bus Stop,2.8,1,3.8
37.394433,-122.051293,Local,Saturday, ,21,Northbound,61282,Logue & Middlefield,Bus Stop,Bus Stop,0,0,0
37.373157,-122.020487,Local,Saturday, ,21,Eastbound,61295,Evelyn & Fair Oaks,Bus Stop,Bus Stop,3,1.6,4.6
37.366636,-122.007951,Local,Saturday, ,21,Eastbound,61298,Reed & Sequoia,Bus Stop,Bus Stop,0,0.2,0.2
37.35564,-121.952232,Local,Saturday, ,21,Southbound,61314,Monroe & Warburton,Bus Stop,Bus Stop,0.6,0.4,1
37.444636,-122.160724,Local,Saturday, ,21,Northbound,61568,Hamilton & Ramona,Bus Stop,Bus Stop,1.6,1.4,3
37.429295,-122.123064,Local,Saturday, ,21,Eastbound,61581,Middlefield & Loma Verde,Bus Stop,Bus Stop,0.6,1.6,2.2
37.422729,-122.112561,Local,Saturday, ,21,Eastbound,61584,Middlefield & Mayview,Bus Stop,Bus Stop,1.2,3,4.2
37.397332,-122.076552,Local,Saturday, ,21,Northbound,62037,Moffett and Central Opposite Jackson,Bus Stop,Bus Stop,1.6,0.2,1.8
37.358272,-121.953652,Local,Saturday, ,21,Southbound,62742,Monroe & Don Avenue,Bus Stop,Bus Stop,0.2,0,0.2
37.372453,-122.01778,Local,Saturday, ,21,Eastbound,65724,Evelyn & Holly Terrace,Bus Stop,Bus Stop,0,0,0
37.402558,-122.106785,Local,Saturday, ,21,Southbound,60694,Showers & California,Bus Stop,Bus Stop,17.2,14,31.2
37.40607,-122.110505,Local,Saturday, ,21,Northbound,61266,San Antonio & California,Bus Stop,Bus Stop,0.4,1,1.4
37.363303,-121.976018,Local,Saturday, ,21,Westbound,61327,Monroe & Bowers,Bus Stop,Bus Stop,0.6,1,1.6
37.366974,-121.990743,Local,Saturday, ,21,Westbound,61330,Monroe & Monticello,Bus Stop,Bus Stop,0,2.4,2.4
37.399223,-122.10032,Local,Saturday, ,21,Westbound,61539,California & Rengstorff,Bus Stop,Bus Stop,1.2,1.4,2.6
37.417524,-122.105759,Local,Saturday, ,21,Northbound,61542,Middlefield & Montrose,Bus Stop,Bus Stop,0.6,1.2,1.8
37.439926,-122.139539,Local,Saturday, ,21,Westbound,61552,Middlefield & Seale,Bus Stop,Bus Stop,0.2,0,0.2
37.445383,-122.148225,Local,Saturday, ,21,Westbound,61555,Middlefield & Kingsley,Bus Stop,Bus Stop,0,0,0
37.382533,-122.032398,Local,Saturday, ,21,Northbound,62262,Mathilda & California,Bus Stop,Bus Stop,0.2,0.8,1
37.358193,-121.953357,Local,Saturday, ,21,Northbound,62731,Monroe & Don Avenue,Bus Stop,Bus Stop,0,0,0
37.338917,-121.842306,Frequent,Saturday, ,22,Southbound,60040,King & Story,Bus Stop,Bus Stop,139.8,76,215.8
37.330799,-121.83436,Frequent,Saturday, ,22,Southbound,60043,King & Havana,Bus Stop,Bus Stop,19.8,6,25.8
37.439113,-122.162394,Frequent,Saturday, ,22,Southbound,60329,El Camino & Palm,Bus Stop,Bus Stop,0.8,14.6,15.4
37.412051,-122.124844,Frequent,Saturday, ,22,Eastbound,60342,El Camino & Maybell,Bus Stop,Bus Stop,4.2,6,10.2
37.404255,-122.117976,Frequent,Saturday, ,22,Eastbound,60345,El Camino & Los Altos,Bus Stop,Bus Stop,2.6,6,8.6
37.380872,-122.074397,Frequent,Saturday, ,22,Eastbound,60358,El Camino & Bay,Bus Stop,Bus Stop,17.4,15,32.4
37.352065,-122.007423,Frequent,Saturday, ,22,Eastbound,60371,El Camino & Poplar,Bus Stop,Bus Stop,7,2.4,9.4
37.35222,-121.992533,Frequent,Saturday, ,22,Eastbound,60374,El Camino & Flora Vista,Bus Stop,Bus Stop,30.4,38.4,68.8
37.332384,-121.91316,Frequent,Saturday, ,22,Eastbound,60403,The Alameda & Hanchett,Bus Stop,Bus Stop,16.4,31.8,48.2
37.342137,-121.877764,Frequent,Saturday, ,22,Eastbound,60416,Santa Clara & 13th,Bus Stop,Bus Stop,10.4,6,16.4
37.345514,-121.870724,Frequent,Saturday, ,22,Eastbound,60419,Santa Clara & 21st,Bus Stop,Bus Stop,27.4,13.6,41
37.330924,-121.834218,Frequent,Saturday, ,22,Northbound,60058,King & Ocala,Bus Stop,Bus Stop,9.6,25,34.6
37.340967,-121.843949,Frequent,Saturday, ,22,Northbound,60061,King & Lido,Bus Stop,Bus Stop,16.2,69.8,86
37.343828,-121.87471,Frequent,Saturday, ,22,Westbound,60434,Santa Clara & 17th,Bus Stop,Bus Stop,13.4,33,46.4
37.341155,-121.880371,Frequent,Saturday, ,22,Westbound,60437,Santa Clara & 11th,Bus Stop,Bus Stop,22.4,27.4,49.8
37.333763,-121.91449,Frequent,Saturday, ,22,Westbound,60450,The Alameda & Hester,Bus Stop,Bus Stop,8.2,2.6,10.8
37.340089,-121.922069,Frequent,Saturday, ,22,Westbound,60453,The Alameda & University,Bus Stop,Bus Stop,5.2,0.6,5.8
37.353139,-121.951246,Frequent,Saturday, ,22,Westbound,60466,El Camino & Monroe,Bus Stop,Bus Stop,14.6,20,34.6
37.352516,-121.965358,Frequent,Saturday, ,22,Westbound,60469,El Camino & Los Padres,Bus Stop,Bus Stop,12.8,11.6,24.4
37.35234,-122.007858,Frequent,Saturday, ,22,Westbound,60479,El Camino & Poplar,Bus Stop,Bus Stop,8,7.2,15.2
37.362521,-122.025659,Frequent,Saturday, ,22,Westbound,60482,El Camino & Fair Oaks,Bus Stop,Bus Stop,51.2,52.4,103.6
37.388347,-122.088812,Frequent,Saturday, ,22,Westbound,60495,El Camino & Shoreline,Bus Stop,Bus Stop,6,4.4,10.4
37.396301,-122.10276,Frequent,Saturday, ,22,Westbound,60498,El Camino & Rengstorff,Bus Stop,Bus Stop,22.6,24,46.6
37.423431,-122.142367,Frequent,Saturday, ,22,Westbound,60511,El Camino & Page Mill,Bus Stop,Bus Stop,9,3,12
37.430258,-122.151809,Frequent,Saturday, ,22,Westbound,60514,El Camino & Park,Bus Stop,Bus Stop,4,2.4,6.4
37.339385,-121.842409,Frequent,Saturday, ,22,Northbound,65427,King & Story,Bus Stop,Bus Stop,71.6,115.8,187.4
37.3485,-121.864385,Frequent,Saturday, ,23,Eastbound,60421,Santa Clara & 28th,Bus Stop,Bus Stop,29,17.2,46.2
37.322842,-122.009639,Frequent,Saturday, ,23,Eastbound,60572,Stevens Creek & Finch,Bus Stop,Bus Stop,6.4,15.6,22
37.32288,-121.997436,Frequent,Saturday, ,23,Eastbound,60575,Stevens Creek & Interstate 280,Bus Stop,Bus Stop,1.4,0.4,1.8
37.323168,-121.95313,Frequent,Saturday, ,23,Eastbound,60588,Stevens Creek & Maplewood,Bus Stop,Bus Stop,18.8,11.4,30.2
37.323531,-121.908286,Frequent,Saturday, ,23,Eastbound,60601,San Carlos & Lincoln,Bus Stop,Bus Stop,6,12.2,18.2
37.325821,-121.898191,Frequent,Saturday, ,23,Eastbound,60604,San Carlos & Josefa,Bus Stop,Bus Stop,2.8,6.8,9.6
37.358652,-121.842939,Frequent,Saturday, ,23,Eastbound,63030,Alum Rock & Jackson,Bus Stop,Bus Stop,50.4,15,65.4
37.352627,-121.856198,Frequent,Saturday, ,23,Westbound,60426,Alum Rock & King,Bus Stop,Bus Stop,18.2,30.2,48.4
37.338318,-121.886197,Frequent,Saturday, ,23,Westbound,60439,Santa Clara & 5th,Bus Stop,Bus Stop,32.4,29.8,62.2
37.330071,-121.890349,Frequent,Saturday, ,23,Westbound,60619,San Carlos & Market,Bus Stop,Bus Stop,6.6,25.6,32.2
37.326427,-121.89754,Frequent,Saturday, ,23,Westbound,60622,San Carlos & Gifford,Bus Stop,Bus Stop,4.2,3.2,7.4
37.323475,-121.934136,Frequent,Saturday, ,23,Westbound,60635,Stevens Creek & Bradley,Bus Stop,Bus Stop,11.8,6.6,18.4
37.323218,-121.9918,Frequent,Saturday, ,23,Westbound,60651,Stevens Creek & Cabot,Bus Stop,Bus Stop,16.8,10.2,27
37.323161,-122.006955,Frequent,Saturday, ,23,Westbound,60654,Stevens Creek & Tantau,Bus Stop,Bus Stop,16,6.6,22.6
37.309699,-122.022938,Frequent,Saturday, ,25,Eastbound,60702,Bollinger & Blaney,Bus Stop,Bus Stop,1.4,2.4,3.8
37.310621,-122.008408,Frequent,Saturday, ,25,Eastbound,60705,Bollinger & Tullipan,Bus Stop,Bus Stop,1,0.2,1.2
37.308735,-121.958039,Frequent,Saturday, ,25,Eastbound,60718,Williams & Calboro,Bus Stop,Bus Stop,0,0.6,0.6
37.311772,-121.9499,Frequent,Saturday, ,25,Northbound,60721,Winchester & Neal,Bus Stop,Bus Stop,1.4,1.2,2.6
37.37618,-122.025721,Local,Saturday, ,21,Eastbound,60865,Evelyn & Bayview,Bus Stop,Bus Stop,0.8,0.8,1.6
37.395609,-122.04795,Local,Saturday, ,21,Eastbound,61283,Maude & Clyde,Bus Stop,Bus Stop,0,0,0
37.366622,-122.002742,Local,Saturday, ,21,Eastbound,61299,Reed & Evelyn,Bus Stop,Bus Stop,1,0.8,1.8
37.366808,-121.990585,Local,Saturday, ,21,Eastbound,61302,Monroe & Monticello,Bus Stop,Bus Stop,0.6,1.2,1.8
37.353763,-121.95119,Local,Saturday, ,21,,61315,Monroe & Civic Center Drive,Bus Stop,Bus Stop,1.4,0.8,2.2
37.393734,-122.086958,Local,Saturday, ,21,Eastbound,61424,California & Palo Alto,Bus Stop,Bus Stop,0,0,0
37.444922,-122.156859,Local,Saturday, ,21,Westbound,61559,Waverly & Homer,Bus Stop,Bus Stop,0,0,0
37.446653,-122.150442,Local,Saturday, ,21,Eastbound,61572,Middlefield & Addison,Bus Stop,Bus Stop,0.2,1,1.2
37.42178,-122.111723,Local,Saturday, ,21,Eastbound,61585,Middlefield & Adobe Creek,Bus Stop,Bus Stop,0.2,0.2,0.4
37.399166,-122.074495,Local,Saturday, ,21,Northbound,62038,Moffett & Cypress Point,Bus Stop,Bus Stop,0.4,0,0.4
37.389111,-122.030812,Local,Saturday, ,21,Southbound,62282,Mathilda & Maude,Bus Stop,Bus Stop,1.6,0.6,2.2
37.350635,-121.949235,Local,Saturday, ,21,Northbound,60465,Monroe & Fremont,Bus Stop,Bus Stop,0.2,0.4,0.6
37.398881,-122.066678,Local,Saturday, ,21,Westbound,61355,Middlefield & Easy,Bus Stop,Bus Stop,0.2,2.2,2.4
37.352424,-121.936901,Local,Saturday, ,21,,61474,Santa Clara Transit Center (Bay 7),Bus Stop,Bus Stop,0,19.8,19.8
37.393272,-122.085267,Local,Saturday, ,21,Westbound,61535,California & Shoreline,Bus Stop,Bus Stop,0,0.2,0.2
37.396895,-122.094426,Local,Saturday, ,21,Westbound,61538,California & Escuela,Bus Stop,Bus Stop,2.6,2.2,4.8
37.431299,-122.125856,Local,Saturday, ,21,Westbound,61548,Middlefield & Matadero,Bus Stop,Bus Stop,0,0.4,0.4
37.437456,-122.135666,Local,Saturday, ,21,Westbound,61551,Middlefield & California,Bus Stop,Bus Stop,1,0.2,1.2
37.440557,-122.173639,Local,Saturday, ,21,Westbound,61564,Arboretum & Sand Hill,Bus Stop,Bus Stop,24.4,0,24.4
37.396882,-122.07707,Local,Saturday, ,21,Southbound,62107,Moffett & Jackson,Bus Stop,Bus Stop,0.4,1.6,2
37.400486,-122.108927,Local,Saturday, ,21,Southbound,64957,Showers & Latham,Bus Stop,Bus Stop,0,0,0
37.372697,-122.017912,Local,Saturday, ,21,Westbound,65725,Evelyn & Holly Terrace,Bus Stop,Bus Stop,0.4,0,0.4
37.355057,-121.945135,Frequent,Saturday, ,22,Eastbound,60020,El Camino & Lafayette,Bus Stop,Bus Stop,7,10.4,17.4
37.349498,-121.852468,Frequent,Saturday, ,22,Southbound,60036,King & San Antonio,Bus Stop,Bus Stop,11,12.4,23.4
