FID,full_name,Frequency1,LineID1,LineAbb,Line_url,Category,colorcode
0,55 Old Ironsides Station - De Anza College - A - inbound,30,55,55,https://www.vta.org/go/routes/55,local,29588c
1,55 Old Ironsides Station - De Anza College - A - outbound,30,55,55,https://www.vta.org/go/routes/55,local,29588c
2,Rapid 523 Berryessa BART -  Lockheed Martin via De Anza College - A - inbound,15,523,rapid-523,https://www.vta.org/go/routes/rapid-523,frequent,e4002b
3,Rapid 523 Berryessa BART -  Lockheed Martin via De Anza College - A - outbound,15,523,rapid-523,https://www.vta.org/go/routes/rapid-523,frequent,e4002b
4,59 Valley Fair - Baypointe Station via Alviso - A - inbound,30,59,59,https://www.vta.org/go/routes/59,local,29588c
5,59 Valley Fair - Baypointe Station via Alviso - A - outbound,30,59,59,https://www.vta.org/go/routes/59,local,29588c
6,51H Moffett Field / Ames Center - De Anza College - northbound,30,51H,51h,https://www.vta.org/go/routes/51h,local,29588c
7,51H Moffett Field / Ames Center - De Anza College - southbound,30,51H,51h,https://www.vta.org/go/routes/51h,local,29588c
8,61T Good Sam Hospital - Bascom & Union - SB VIA BASCOM,30,61T,61t,https://www.vta.org/go/routes/61t,local,29588c
9,61T Good Sam Hospital - Bascom & Union - SB VIA UNION,30,61T,61t,https://www.vta.org/go/routes/61t,local,29588c
10,61L Berryessa BART - Sierra & Piedmont - southbound,30,61L,61l,https://www.vta.org/go/routes/61l,local,29588c
11,61L Berryessa BART - Sierra & Piedmont - northbound,30,61L,61l,https://www.vta.org/go/routes/61l,local,29588c
12,42 Evergreen Valley College - Santa Teresa Station - A - inbound,60,42,42,https://www.vta.org/go/routes/42,local,29588c
13,42 Evergreen Valley College - Santa Teresa Station - A - outbound,60,42,42,https://www.vta.org/go/routes/42,local,29588c
14,Rapid 500 San Jose Diridon Station - Berryessa BART - inbound,15,500,rapid-500,https://www.vta.org/go/routes/rapid-500,frequent,e4002b
15,Rapid 500 San Jose Diridon Station - Berryessa BART - outbound,15,500,rapid-500,https://www.vta.org/go/routes/rapid-500,frequent,e4002b
16,83 Almaden & McKean - Ohlone-Chynoweth Station - inbound,60,83,83,https://www.vta.org/go/routes/83,local,29588c
