"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
06,085,513500,1412,060855135001412,Block 1412,G5040,R,,,S,7028,0,+36.9874826,-121.3848559
06,085,513500,1418,060855135001418,Block 1418,G5040,R,,,S,9933438,0,+37.0042561,-121.4089990
06,085,513500,1038,060855135001038,Block 1038,G5040,R,,,S,7152,0,+37.3674696,-121.6046816
06,085,513500,1274,060855135001274,Block 1274,G5040,R,,,S,25100,0,+37.2989904,-121.7105875
06,085,513500,1483,060855135001483,Block 1483,G5040,R,,,S,1660992,0,+37.3919500,-121.4375749
06,085,513500,1279,060855135001279,Block 1279,G5040,R,,,S,324644,0,+37.2723929,-121.6884002
06,085,513500,1490,060855135001490,Block 1490,G5040,R,,,S,1654381,0,+37.4637085,-121.6324881
06,085,513500,1100,060855135001100,Block 1100,G5040,R,,,S,7434819,0,+37.3851101,-121.6881708
06,085,513500,1204,060855135001204,Block 1204,G5040,R,,,S,933577,0,+37.2226440,-121.5171559
06,085,513500,1105,060855135001105,Block 1105,G5040,R,,,S,88434,0,+37.3862551,-121.6707043
06,085,513500,1312,060855135001312,Block 1312,G5040,R,,,S,15072,0,+37.2266140,-121.7335214
06,085,513500,1229,060855135001229,Block 1229,G5040,R,,,S,1965796,0,+37.2620002,-121.4881337
06,085,513500,1310,060855135001310,Block 1310,G5040,R,,,S,9548688,0,+37.2176405,-121.7134901
06,085,512308,1003,060855123081003,Block 1003,G5040,U,33328,U,S,47273,0,+37.1637112,-121.6384142
06,085,511800,1001,060855118001001,Block 1001,G5040,R,,,S,58345,0,+37.2154721,-122.0276720
06,085,511800,3060,060855118003060,Block 3060,G5040,R,,,S,0,91160,+37.1615435,-121.8401878
06,085,511800,3083,060855118003083,Block 3083,G5040,R,,,S,1890848,0,+37.1042766,-121.8537367
06,085,511800,3029,060855118003029,Block 3029,G5040,R,,,S,225476,0,+37.1542078,-121.9055274
06,085,511800,3016,060855118003016,Block 3016,G5040,R,,,S,149661,0,+37.1695760,-121.8772026
06,085,511800,3017,060855118003017,Block 3017,G5040,R,,,S,817109,0,+37.1738542,-121.9055705
06,085,511800,3007,060855118003007,Block 3007,G5040,R,,,S,13166781,0,+37.1851914,-121.9476959
06,085,511800,3020,060855118003020,Block 3020,G5040,R,,,S,1015581,0,+37.1764145,-121.8710707
06,085,511800,2032,060855118002032,Block 2032,G5040,U,79039,U,S,12178,0,+37.1503328,-121.9789519
06,085,511800,1064,060855118001064,Block 1064,G5040,U,79039,U,S,13703,0,+37.1507287,-121.9905738
06,085,511800,1042,060855118001042,Block 1042,G5040,U,79039,U,S,64381,0,+37.1516226,-121.9910838
06,085,511800,1043,060855118001043,Block 1043,G5040,U,79039,U,S,17945,0,+37.1534883,-121.9898432
06,085,511800,3051,060855118003051,Block 3051,G5040,R,,,S,4945,0,+37.1235927,-121.8516020
06,085,511800,3049,060855118003049,Block 3049,G5040,R,,,S,7314,0,+37.1233577,-121.8521289
